customer_id	tot_travel_sales	tot_sales	travel_sales_percentage
3	30	30	100,000000
5	1	1	100,000000
6	16	16	100,000000
8	5	42	11,904762
9	13	13	100,000000
10	31	31	100,000000
11	7	7	100,000000
12	2	2	100,000000
14	14	14	100,000000
17	8	8	100,000000
18	5	5	100,000000
19	5	5	100,000000
20	36	36	100,000000
21	23	23	100,000000
23	9	9	100,000000
24	29	29	100,000000
25	6	6	100,000000
26	15	15	100,000000
27	3	3	100,000000
28	22	22	100,000000
30	23	23	100,000000
31	6	6	100,000000
32	9	9	100,000000
34	18	18	100,000000
36	30	30	100,000000
38	15	15	100,000000
39	54	54	100,000000
40	7	7	100,000000
41	19	19	100,000000
42	3	33	9,090909
43	24	24	100,000000
44	37	37	100,000000
45	31	31	100,000000
47	4	4	100,000000
48	0	52	,000000
49	17	17	100,000000
50	16	16	100,000000
52	31	31	100,000000
53	2	2	100,000000
55	29	29	100,000000
56	5	5	100,000000
57	3	29	10,344828
59	35	35	100,000000
60	18	18	100,000000
62	8	8	100,000000
64	21	21	100,000000
66	6	6	100,000000
67	3	3	100,000000
70	8	8	100,000000
71	29	29	100,000000
74	23	23	100,000000
75	17	17	100,000000
76	89	89	100,000000
77	28	28	100,000000
79	0	39	,000000
80	22	22	100,000000
81	21	21	100,000000
83	11	11	100,000000
84	12	12	100,000000
87	23	23	100,000000
88	20	20	100,000000
89	15	15	100,000000
90	4	4	100,000000
91	21	21	100,000000
93	41	41	100,000000
96	20	20	100,000000
97	19	19	100,000000
98	8	8	100,000000
99	102	102	100,000000
101	18	18	100,000000
102	12	12	100,000000
104	0	91	,000000
105	17	17	100,000000
106	16	16	100,000000
108	1	1	100,000000
109	8	8	100,000000
110	13	13	100,000000
111	8	8	100,000000
112	18	18	100,000000
113	3	3	100,000000
114	8	8	100,000000
115	41	41	100,000000
116	13	13	100,000000
117	39	39	100,000000
118	0	42	,000000
119	14	14	100,000000
120	15	15	100,000000
121	18	18	100,000000
124	5	5	100,000000
125	17	17	100,000000
126	10	10	100,000000
127	10	10	100,000000
128	0	29	,000000
130	6	6	100,000000
131	15	15	100,000000
133	14	14	100,000000
135	87	87	100,000000
136	27	27	100,000000
137	24	24	100,000000
139	14	14	100,000000
140	26	26	100,000000
141	28	28	100,000000
142	12	12	100,000000
143	18	18	100,000000
144	25	25	100,000000
146	0	2	,000000
147	4	4	100,000000
148	30	30	100,000000
149	17	17	100,000000
150	0	8	,000000
151	11	11	100,000000
152	31	31	100,000000
154	47	47	100,000000
155	16	16	100,000000
156	6	6	100,000000
157	19	19	100,000000
158	0	89	,000000
159	31	31	100,000000
160	29	29	100,000000
161	25	25	100,000000
162	26	26	100,000000
163	9	18	50,000000
164	10	10	100,000000
165	22	22	100,000000
167	8	8	100,000000
168	0	3	,000000
169	63	63	100,000000
170	6	15	40,000000
171	13	13	100,000000
172	6	6	100,000000
175	5	5	100,000000
176	8	8	100,000000
177	53	53	100,000000
178	44	44	100,000000
179	18	18	100,000000
180	0	12	,000000
181	0	76	,000000
182	27	27	100,000000
184	1	1	100,000000
185	7	7	100,000000
186	13	13	100,000000
187	53	53	100,000000
188	45	45	100,000000
189	7	7	100,000000
190	73	73	100,000000
191	31	31	100,000000
192	0	110	,000000
193	14	14	100,000000
194	13	22	59,090909
195	9	9	100,000000
196	4	4	100,000000
197	24	24	100,000000
198	17	17	100,000000
200	0	7	,000000
201	64	64	100,000000
204	14	14	100,000000
206	10	10	100,000000
207	7	7	100,000000
208	59	59	100,000000
209	1	1	100,000000
210	16	16	100,000000
211	60	60	100,000000
213	15	15	100,000000
214	11	11	100,000000
215	9	9	100,000000
216	57	57	100,000000
217	75	75	100,000000
218	13	13	100,000000
219	16	16	100,000000
220	2	2	100,000000
221	38	38	100,000000
222	36	36	100,000000
224	37	37	100,000000
225	7	7	100,000000
226	37	37	100,000000
227	8	8	100,000000
228	15	15	100,000000
229	16	16	100,000000
230	0	24	,000000
232	9	9	100,000000
233	2	2	100,000000
234	10	10	100,000000
235	22	22	100,000000
236	8	8	100,000000
237	11	11	100,000000
238	20	20	100,000000
240	41	41	100,000000
241	4	40	10,000000
242	38	56	67,857143
243	31	31	100,000000
244	0	26	,000000
245	0	4	,000000
246	21	21	100,000000
248	34	34	100,000000
249	2	2	100,000000
250	25	25	100,000000
251	8	8	100,000000
252	18	18	100,000000
254	3	3	100,000000
255	23	23	100,000000
256	8	8	100,000000
257	6	6	100,000000
258	8	8	100,000000
259	4	4	100,000000
260	61	61	100,000000
261	20	20	100,000000
262	10	10	100,000000
263	0	5	,000000
264	3	3	100,000000
265	54	54	100,000000
266	4	4	100,000000
267	9	9	100,000000
268	28	28	100,000000
269	2	2	100,000000
270	0	6	,000000
271	7	7	100,000000
272	0	207	,000000
273	24	24	100,000000
274	38	38	100,000000
275	18	18	100,000000
276	6	6	100,000000
277	0	9	,000000
278	10	10	100,000000
280	65	65	100,000000
281	19	19	100,000000
282	7	7	100,000000
283	4	4	100,000000
285	25	25	100,000000
286	0	85	,000000
287	17	17	100,000000
288	19	19	100,000000
289	5	13	38,461538
290	14	14	100,000000
291	9	9	100,000000
293	0	47	,000000
294	20	20	100,000000
295	3	3	100,000000
296	35	35	100,000000
297	20	20	100,000000
298	0	107	,000000
299	12	12	100,000000
300	27	27	100,000000
301	21	21	100,000000
302	14	14	100,000000
303	4	4	100,000000
304	33	33	100,000000
305	18	18	100,000000
306	21	21	100,000000
307	10	10	100,000000
308	4	4	100,000000
309	3	3	100,000000
310	13	44	29,545455
311	25	25	100,000000
312	13	13	100,000000
314	25	25	100,000000
315	0	35	,000000
317	20	20	100,000000
318	5	5	100,000000
319	23	23	100,000000
320	24	25	96,000000
321	0	71	,000000
322	0	148	,000000
323	17	17	100,000000
325	14	14	100,000000
326	10	10	100,000000
